iter	Passed	Remaining
0	177	176964
1	179	89733
2	182	60654
3	183	45801
4	185	36898
5	187	31063
6	189	26889
7	191	23692
8	192	21198
9	193	19184
10	195	17605
11	196	16207
12	197	15023
13	198	14009
14	199	13127
15	200	12350
16	202	11683
17	203	11082
18	203	10531
19	204	10036
20	205	9588
21	206	9178
22	207	8802
23	208	8460
24	209	8181
25	210	7890
26	211	7617
27	212	7364
28	212	7129
29	213	6909
30	214	6703
31	215	6511
32	217	6360
33	218	6194
34	218	6032
35	219	5879
36	220	5734
37	221	5596
38	221	5465
39	222	5341
40	224	5240
41	225	5132
42	225	5026
43	226	4924
44	227	4825
45	228	4732
46	228	4643
47	229	4557
48	231	4489
49	232	4413
50	233	4337
51	233	4263
52	234	4193
53	235	4124
54	236	4058
55	237	3995
56	238	3938
57	239	3888
58	240	3831
59	240	3774
60	241	3720
61	242	3668
62	243	3617
63	244	3568
64	244	3521
65	246	3487
66	247	3443
67	248	3400
68	248	3357
69	249	3315
70	250	3275
71	251	3236
72	251	3198
73	252	3163
74	254	3137
75	255	3102
76	255	3067
77	256	3033
78	257	3001
79	258	2969
80	258	2938
81	260	2911
82	261	2884
83	261	2856
84	262	2828
85	263	2801
86	264	2773
87	265	2747
88	266	2723
89	268	2711
90	269	2691
91	270	2670
92	271	2649
93	272	2628
94	273	2607
95	274	2586
96	276	2571
97	277	2550
98	277	2528
99	278	2507
100	279	2486
101	280	2466
102	280	2446
103	281	2427
104	283	2413
105	283	2394
106	284	2376
107	285	2357
108	286	2340
109	287	2322
110	287	2305
111	288	2288
112	290	2278
113	291	2262
114	291	2246
115	292	2230
116	293	2214
117	294	2198
118	294	2183
119	295	2169
120	297	2161
121	298	2146
122	299	2132
123	299	2118
124	300	2104
125	301	2090
126	302	2076
127	302	2063
128	303	2051
129	305	2042
130	306	2029
131	306	2017
132	307	2004
133	308	1992
134	309	1980
135	309	1968
136	310	1956
137	312	1950
138	313	1939
139	313	1928
140	314	1917
141	315	1905
142	316	1893
143	316	1883
144	317	1872
145	318	1862
146	319	1856
147	320	1846
148	321	1836
149	322	1826
150	323	1816
151	323	1807
152	324	1797
153	325	1788
154	327	1783
155	328	1774
156	328	1765
157	329	1756
158	330	1747
159	331	1738
160	331	1728
161	332	1719
162	334	1715
163	335	1707
164	335	1699
165	336	1691
166	337	1682
167	338	1674
168	338	1666
169	339	1658
170	340	1652
171	342	1646
172	342	1639
173	343	1631
174	344	1624
175	345	1616
176	346	1609
177	346	1601
178	348	1597
179	349	1591
180	350	1584
181	351	1577
182	351	1570
183	352	1563
184	353	1556
185	354	1549
186	355	1543
187	356	1539
188	357	1532
189	358	1526
190	358	1519
191	359	1513
192	360	1506
193	361	1500
194	361	1493
195	363	1491
196	364	1485
197	365	1479
198	365	1473
199	366	1467
200	367	1461
201	368	1455
202	369	1449
203	370	1446
204	371	1441
205	372	1435
206	373	1429
207	374	1424
208	374	1418
209	375	1412
210	376	1407
211	377	1405
212	379	1400
213	380	1398
214	381	1392
215	382	1387
216	383	1382
217	383	1376
218	385	1374
219	386	1369
220	387	1364
221	387	1359
222	388	1354
223	389	1348
224	390	1343
225	390	1338
226	392	1334
227	393	1331
